dataset,subject,question_id,model_type,stage,cache_name,layer_idx,entropy_raw,entropy_normalized,logit_lens_temperature,vocab_size,kl_prev_layer,kl_vector_align
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,0,nan,nan,1.0,0,nan,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,1,nan,nan,1.0,0,2.114579916000366,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,2,nan,nan,1.0,0,1.1230697631835938,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,3,nan,nan,1.0,0,1.0008392333984375,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,4,nan,nan,1.0,0,1.3542654514312744,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,5,nan,nan,1.0,0,1.3801212310791016,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,6,nan,nan,1.0,0,1.2029496431350708,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,7,nan,nan,1.0,0,0.9196460843086243,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,8,nan,nan,1.0,0,1.088178277015686,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,9,nan,nan,1.0,0,1.0364786386489868,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,10,nan,nan,1.0,0,1.1801238059997559,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,11,nan,nan,1.0,0,1.210954189300537,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,12,nan,nan,1.0,0,1.036331057548523,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,13,nan,nan,1.0,0,0.9087490439414978,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,14,nan,nan,1.0,0,1.0634424686431885,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,15,nan,nan,1.0,0,1.01357901096344,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,16,nan,nan,1.0,0,0.9425158500671387,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,17,nan,nan,1.0,0,0.9228607416152954,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,18,nan,nan,1.0,0,0.8565999269485474,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,19,nan,nan,1.0,0,0.850691556930542,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,20,nan,nan,1.0,0,0.8578217029571533,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,21,nan,nan,1.0,0,0.8362274169921875,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,22,nan,nan,1.0,0,0.9012375473976135,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,23,nan,nan,1.0,0,0.9101355075836182,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,24,nan,nan,1.0,0,0.8435667753219604,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,25,nan,nan,1.0,0,0.9614659547805786,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,26,nan,nan,1.0,0,0.8989280462265015,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,27,nan,nan,1.0,0,0.9455863237380981,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,28,nan,nan,1.0,0,0.9423526525497437,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,29,nan,nan,1.0,0,0.9410010576248169,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,30,nan,nan,1.0,0,0.9781057834625244,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,31,nan,nan,1.0,0,0.9632295370101929,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,32,nan,nan,1.0,0,0.9964884519577026,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,33,nan,nan,1.0,0,0.9536169171333313,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,34,nan,nan,1.0,0,0.9352192878723145,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,receiver,35,nan,nan,1.0,0,1.1054494380950928,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,0,nan,nan,1.0,0,nan,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,1,nan,nan,1.0,0,2.189577102661133,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,2,nan,nan,1.0,0,1.294797420501709,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,3,nan,nan,1.0,0,0.9976226687431335,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,4,nan,nan,1.0,0,1.3542654514312744,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,5,nan,nan,1.0,0,1.3801212310791016,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,6,nan,nan,1.0,0,1.202341079711914,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,7,nan,nan,1.0,0,0.9175788164138794,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,8,nan,nan,1.0,0,1.088178277015686,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,9,nan,nan,1.0,0,1.0266759395599365,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,10,nan,nan,1.0,0,1.1403436660766602,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,11,nan,nan,1.0,0,1.163955807685852,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,12,nan,nan,1.0,0,0.9994304776191711,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,13,nan,nan,1.0,0,0.8727817535400391,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,14,nan,nan,1.0,0,0.980800986289978,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,15,nan,nan,1.0,0,0.9788867235183716,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,16,nan,nan,1.0,0,0.893886923789978,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,17,nan,nan,1.0,0,0.8480656743049622,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,18,nan,nan,1.0,0,0.8079820871353149,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,19,nan,nan,1.0,0,0.8261278867721558,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,20,nan,nan,1.0,0,0.8191657662391663,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,sharer,21,nan,nan,1.0,0,0.7921016216278076,last
